date,META,MSFT,AAPL,GOOGL,AMZN
2023-02-15,0.0,0.0,0.8879978878704519,0.11200211212954811,0.0
2023-02-16,0.0,0.0,1.0,0.0,0.0
2023-02-17,0.0,0.1204335484730393,0.8795664515269607,0.0,0.0
2023-02-20,0.0,0.5878857293679038,0.4121142706320961,0.0,0.0
2023-02-21,0.0,0.29865900380973415,0.5210201448240803,0.13686058560160172,0.043460265764583804
2023-02-22,0.0,0.22877598239037597,0.4069877495356301,0.19655914800600643,0.16767712006798743
2023-02-23,0.0,0.40039441830725453,0.30194915550727736,0.2976564261854681,0.0
2023-02-24,0.0,0.3696663304855441,0.27769624249687747,0.3526374270175785,0.0
2023-02-27,0.07126410607756717,0.22001096313267837,0.33174461238274344,0.37347971660575985,0.0035006018012512063
2023-02-28,0.14008679867511276,0.30916924473141266,0.301841478964113,0.2360243458189453,0.012878131810416079
2023-03-01,0.14258127903697249,0.2807237698532761,0.42943436692498144,0.14726058418477006,0.0
2023-03-02,0.052157088534208335,0.40591224477234594,0.26048669569923505,0.2814439709942106,0.0
2023-03-03,0.08833687498704557,0.4115422314125944,0.2378932884351442,0.2622276051652159,0.0
2023-03-06,0.06335432974937194,0.39465334789263373,0.18106253463007702,0.3609297877279173,0.0
2023-03-07,0.0,0.4021902472556452,0.22628948135603347,0.37152027138832133,0.0
2023-03-08,0.0,0.3600223048261693,0.20674491987234278,0.36254757952252137,0.07068519577896648
2023-03-09,0.0390676863038036,0.3829193004466809,0.23426080667358257,0.3437522065759329,0.0
2023-03-10,0.18973241125653287,0.18592297142228606,0.28547901466116965,0.3388656026600115,0.0
2023-03-13,0.1292346560591361,0.28457583406153525,0.21060677692450747,0.37558273295482125,0.0
2023-03-14,0.4394821202664446,0.3973304548814471,0.05301907314885891,0.11016835170324943,0.0
2023-03-15,0.3084422444523916,0.2650610119792805,0.0,0.42649674356832795,0.0
2023-03-16,0.3554694416449471,0.47287156474081216,0.0,0.1716589936142408,0.0
2023-03-17,0.0,0.9009164603302638,0.0,0.09908353966973607,0.0
2023-03-20,0.0,0.941960539553259,0.0,0.05803946044674108,0.0
2023-03-21,0.0,0.9051847717808718,0.0,0.09481522821912829,0.0
2023-03-22,0.0,1.0,0.0,0.0,0.0
2023-03-23,0.0,1.0,0.0,0.0,0.0
2023-03-24,0.0,0.1393952050982301,0.86060479490177,0.0,0.0
2023-03-27,0.0,0.23460724166164657,0.7653927583383534,0.0,0.0
2023-03-28,0.0,0.43565459773074294,0.564345402269257,0.0,0.0
2023-03-29,0.0,0.8210978849512548,0.1789021150487451,0.0,0.0
2023-03-30,0.0,0.7441684360766215,0.25583156392337836,0.0,0.0
2023-03-31,0.0,0.6011536694315373,0.3988463305684628,0.0,0.0
