date,BIL-US,ETHA-US,EXI-US,EZU-US,GLD-US,IBIT-US,IEI-US,INDA-US,IXC-US,IXG-US,IXJ-US,IXN-US,JPXN-US,JXI-US,KXI-US,MCHI-US,MXI-US,RXI-US,SHY-US,SLV-US,SPY-US,TLT-US,UNG-US,USO-US,VIXY-US
2007-06-20,74.07367,26.24,46.834324,35.981125,64.71,26.63,71.14971,23.12183,23.49203,57.415703,21.48102,8.970027,46.72377,32.74015,18.926043,39.145004,46.399845,47.6136,60.55524,13.081,108.0756,48.896843,6173.44,412.4,633840.06
2007-06-21,74.07367,26.24,47.065674,36.186317,64.56,26.63,71.099335,23.12183,23.89294,57.458622,21.433928,9.068459,46.92089,33.106712,18.960533,39.145004,46.83894,47.38296,60.577934,13.012,108.6763,48.662926,6146.56,412.8,633840.06
2007-06-22,74.13811,26.24,46.508987,36.057693,64.78,26.63,71.25036,23.12183,23.72375,56.6882,21.202055,8.977158,46.230984,32.648495,18.816933,39.145004,46.56369,47.2215,60.661327,13.006,107.65373,48.9787,5932.8,415.12,633840.06
2007-06-25,74.105835,26.24,46.371613,35.959686,64.43,26.63,71.343796,23.12183,23.569265,56.39743,21.245525,8.930084,46.147026,32.795967,18.78387,39.145004,46.180283,47.43677,60.71442,12.825,107.13888,49.247612,5815.04,415.68,633840.06
2007-06-26,74.12198,26.24,46.169193,35.402325,63.62,26.63,71.37977,23.12183,23.230883,56.188885,21.350557,8.94007,46.30764,32.690636,18.820238,39.145004,45.842785,46.821716,60.676476,12.1449995,106.03763,49.25934,5748.48,408.96,633840.06
2007-06-27,74.105835,26.24,46.29208,35.717754,63.67,26.63,71.46606,23.12183,23.481,56.36676,21.535364,8.99856,46.453636,33.032967,18.96903,39.145004,45.954193,47.190754,60.66894,12.21,107.54649,49.306133,5817.6,415.04,633840.06
2007-06-28,74.13811,26.24,46.55236,35.971935,64.26,26.63,71.36534,23.12183,23.646515,56.32382,21.484652,9.034222,46.314934,33.111973,19.008713,39.145004,45.967308,47.46752,60.65377,12.400001,107.53213,49.294456,5493.76,419.76,633840.06
2007-06-29,74.17034,26.24,46.487305,36.1373,64.27,26.63,71.59541,23.12183,23.784437,56.237934,21.433928,8.977158,46.720123,33.222576,18.95911,39.145004,46.353966,47.359894,60.775063,12.35,107.56789,49.803165,5664.0,424.0,633840.06
2007-07-02,74.1916,26.24,47.15243,36.59362,65.02,26.63,71.70078,23.12183,24.23869,56.75934,21.640438,9.168316,47.541443,33.601784,19.097977,39.145004,47.350117,47.74431,60.815002,12.588,108.54039,50.064793,5561.5874,428.24,633840.06
2007-07-03,74.1916,26.24,47.578983,36.80187,64.74,26.63,71.599724,23.12183,24.363731,57.21333,21.636812,9.181153,47.497482,33.61941,19.177334,39.145004,47.58606,48.0134,60.792156,12.532001,108.933716,49.75955,5518.08,428.32,633840.06
2007-07-05,74.1916,26.24,47.37656,36.63956,64.42,26.63,71.30376,23.12183,24.323275,57.102863,21.6187,9.2282295,47.278614,33.47538,19.193861,39.145004,47.82854,48.105663,60.70844,12.465,108.81931,49.20193,5434.88,433.2,633840.06
